CGPA,Study Method
3.86,Written & summarized notes with highlights
2.8,"Online resources (e.g., revisions on YouTube)"
2.24,"Online resources (e.g., revisions on YouTube)"
2.35,"Online resources (e.g., revisions on YouTube)"
1.5,Session with a teacher
3.91,Written & summarized notes with highlights
2.58,"Online resources (e.g., revisions on YouTube)"
3.1,"Online resources (e.g., revisions on YouTube)"
1.89,Written & summarized notes with highlights
3.8,"Online resources (e.g., revisions on YouTube)"
2.39,"Online resources (e.g., revisions on YouTube)"
2.3,"Online resources (e.g., revisions on YouTube)"
3.7,Written & summarized notes with highlights
2.58,Session with a teacher
3.26,Session with a teacher
2.3,"Online resources (e.g., revisions on YouTube)"
2.12,"Online resources (e.g., revisions on YouTube)"
2.55,"Online resources (e.g., revisions on YouTube)"
3.2,Written & summarized notes with highlights
3.68,Written & summarized notes with highlights
